Tumor_Sample_Barcode	GAMBL-only	Intersect	Reddy-only
Reddy_2903T	4	6	5
Reddy_2904T	8	4	4
Reddy_2905T	2	8	7
Reddy_2908T	2	9	3
Reddy_2909T	2	3	0
Reddy_2910T	2	1	1
Reddy_2912T	2	0	6
Reddy_2915T	0	2	6
Reddy_2917T	16	6	4
Reddy_2918T	8	5	12
Reddy_2919T	5	2	4
Reddy_2921T	6	2	5
Reddy_2922T	3	0	6
Reddy_2923T	2	7	2
Reddy_2925T	2	1	1
Reddy_2928T	3	2	3
Reddy_2931T	0	0	5
Reddy_2933T	6	15	5
Reddy_2934T	12	4	5
Reddy_2935T	4	5	4
Reddy_2936T	6	8	7
Reddy_2939T	5	4	5
Reddy_2944T	6	6	6
Reddy_2945T	7	6	4
Reddy_2946T	0	0	7
Reddy_2947T	1	1	7
Reddy_2948T	9	17	5
Reddy_2949T	3	8	3
Reddy_2950T	10	18	6
Reddy_2951T	2	2	6
Reddy_2952T	7	27	4
Reddy_2953T	10	2	3
Reddy_2954T	2	0	0
Reddy_2955T	7	4	1
Reddy_2956T	21	5	8
Reddy_2957T	6	7	7
Reddy_2995T	4	1	3
Reddy_2996T	3	6	6
Reddy_2998T	2	3	1
Reddy_2999T	5	6	2
Reddy_3382T	6	0	5
Reddy_3384T	6	0	3
Reddy_3385T	19	13	5
Reddy_3386T	2	3	5
Reddy_3387T	1	2	0
Reddy_3388T	9	4	3
Reddy_3389T	4	3	2
Reddy_3390T	2	3	3
Reddy_3394T	1	2	3
Reddy_3396T	0	1	2
Reddy_3398T	5	1	6
Reddy_3399T	1	3	7
Reddy_3400T	1	0	0
Reddy_3401T	7	10	11
Reddy_3403T	0	2	3
Reddy_3404T	1	0	4
Reddy_3405T	4	0	7
Reddy_3406T	3	1	3
Reddy_3407T	11	1	2
Reddy_3408T	4	6	6
Reddy_3409T	4	4	4
Reddy_3411T	3	0	3
Reddy_3412T	2	0	9
Reddy_3413T	0	0	1
Reddy_3417T	6	4	1
Reddy_3418T	5	1	2
Reddy_3419T	4	0	4
Reddy_3422T	3	4	3
Reddy_3423T	5	2	12
Reddy_3424T	0	0	2
Reddy_3429T	5	0	3
Reddy_3430T	2	0	2
Reddy_3431T	0	1	1
Reddy_3432T	11	3	7
Reddy_3433T	3	2	1
Reddy_3434T	2	0	4
Reddy_3435T	0	0	4
Reddy_3438T	10	2	1
Reddy_3439T	9	5	4
Reddy_3440T	1	3	4
Reddy_3441T	5	3	3
Reddy_3444T	2	1	1
Reddy_3446T	1	0	6
Reddy_3447T	7	3	2
Reddy_3448T	5	4	2
Reddy_3449T	1	1	2
Reddy_3450T	3	5	0
Reddy_3451T	16	6	8
Reddy_3453T	2	4	2
Reddy_3454T	6	3	3
Reddy_3455T	1	0	2
Reddy_3456T	4	10	2
Reddy_3457T	1	3	2
Reddy_3458T	3	0	4
Reddy_3459T	4	8	0
Reddy_3460T	11	2	1
Reddy_3461T	3	1	2
Reddy_3462T	1	5	3
Reddy_3463T	2	4	0
Reddy_3464T	4	3	1
Reddy_3465T	6	6	0
Reddy_3467T	3	6	3
